,MV_MH_ATTN_LR0001_DO_3,MV_MH_LR0001_DO3_MASK,MV_TRNSF_LR0001_DO1_MASK
Description,,,
Best Epoch,21,22,50
eng&img_dot_avg_r1,11.05%,12.40%,0.30%
eng&img_dot_avg_r5,33.80%,31.60%,1.10%
eng&img_dot_avg_r10,44.85%,43.40%,2.25%
hin&img_dot_avg_r1,9.05%,8.85%,0.25%
hin&img_dot_avg_r5,25.35%,23.90%,0.90%
hin&img_dot_avg_r10,34.65%,32.85%,2.15%
jap&img_dot_avg_r1,19.10%,19.40%,0.35%
jap&img_dot_avg_r5,45.35%,44.15%,2.05%
jap&img_dot_avg_r10,59.45%,57.85%,3.35%
hin&eng_dot_avg_r1,6.50%,5.75%,0.25%
hin&eng_dot_avg_r5,18.80%,16.15%,0.95%
hin&eng_dot_avg_r10,27.80%,22.90%,1.35%
jap&eng_dot_avg_r1,6.25%,5.85%,0.10%
jap&eng_dot_avg_r5,19.05%,17.60%,0.65%
jap&eng_dot_avg_r10,26.90%,25.05%,1.25%
jap&hin_dot_avg_r1,5.00%,4.75%,0.00%
jap&hin_dot_avg_r5,15.65%,13.60%,0.60%
jap&hin_dot_avg_r10,22.40%,20.55%,1.10%
eng&img_cos_avg_r1,11.10%,12.10%,0.30%
eng&img_cos_avg_r5,33.85%,31.85%,1.10%
eng&img_cos_avg_r10,45.35%,43.75%,2.25%
hin&img_cos_avg_r1,8.35%,8.70%,0.25%
hin&img_cos_avg_r5,25.00%,24.25%,0.90%
hin&img_cos_avg_r10,34.35%,33.45%,2.15%
jap&img_cos_avg_r1,18.35%,18.80%,0.35%
jap&img_cos_avg_r5,45.45%,44.20%,2.05%
jap&img_cos_avg_r10,59.75%,58.10%,3.40%
hin&eng_cos_avg_r1,6.45%,6.00%,0.25%
hin&eng_cos_avg_r5,19.25%,17.10%,0.95%
hin&eng_cos_avg_r10,29.50%,24.05%,1.35%
jap&eng_cos_avg_r1,6.20%,5.80%,0.10%
jap&eng_cos_avg_r5,19.15%,17.60%,0.65%
jap&eng_cos_avg_r10,27.80%,26.15%,1.20%
jap&hin_cos_avg_r1,5.05%,4.75%,0.00%
jap&hin_cos_avg_r5,16.40%,13.90%,0.60%
jap&hin_cos_avg_r10,23.65%,22.50%,1.15%
