,MV_MH_ATTN_LR0001_DO_1_NOCLS,MV_MH_ATTN_LR0001_DO_3,MV_MH_ATTN_LR0001_DO_5
Description,,,
Best Epoch,21,21,32
eng&img_dot_avg_r1,9.55%,11.05%,4.55%
eng&img_dot_avg_r5,27.85%,33.80%,14.15%
eng&img_dot_avg_r10,38.50%,44.85%,23.50%
hin&img_dot_avg_r1,7.90%,9.05%,3.65%
hin&img_dot_avg_r5,23.75%,25.35%,13.60%
hin&img_dot_avg_r10,32.55%,34.65%,21.25%
jap&img_dot_avg_r1,16.55%,19.10%,6.20%
jap&img_dot_avg_r5,43.15%,45.35%,20.85%
jap&img_dot_avg_r10,57.50%,59.45%,30.05%
hin&eng_dot_avg_r1,5.25%,6.50%,2.20%
hin&eng_dot_avg_r5,15.95%,18.80%,9.25%
hin&eng_dot_avg_r10,23.30%,27.80%,14.80%
jap&eng_dot_avg_r1,4.20%,6.25%,2.05%
jap&eng_dot_avg_r5,16.55%,19.05%,7.95%
jap&eng_dot_avg_r10,24.80%,26.90%,12.90%
jap&hin_dot_avg_r1,5.35%,5.00%,1.85%
jap&hin_dot_avg_r5,17.60%,15.65%,7.85%
jap&hin_dot_avg_r10,24.65%,22.40%,12.60%
eng&img_cos_avg_r1,9.85%,11.10%,4.40%
eng&img_cos_avg_r5,28.05%,33.85%,14.95%
eng&img_cos_avg_r10,38.70%,45.35%,23.40%
hin&img_cos_avg_r1,7.60%,8.35%,3.75%
hin&img_cos_avg_r5,23.45%,25.00%,13.90%
hin&img_cos_avg_r10,32.50%,34.35%,22.30%
jap&img_cos_avg_r1,15.35%,18.35%,6.20%
jap&img_cos_avg_r5,42.65%,45.45%,21.00%
jap&img_cos_avg_r10,57.90%,59.75%,30.65%
hin&eng_cos_avg_r1,5.10%,6.45%,2.55%
hin&eng_cos_avg_r5,16.25%,19.25%,9.00%
hin&eng_cos_avg_r10,24.40%,29.50%,15.65%
jap&eng_cos_avg_r1,4.20%,6.20%,2.35%
jap&eng_cos_avg_r5,16.25%,19.15%,7.90%
jap&eng_cos_avg_r10,25.10%,27.80%,12.65%
jap&hin_cos_avg_r1,5.60%,5.05%,1.90%
jap&hin_cos_avg_r5,17.70%,16.40%,8.15%
jap&hin_cos_avg_r10,24.75%,23.65%,12.70%
