,MV_MH_ATTN_LR0001_DO_3
Description,
Best Epoch,21
eng&img_dot_avg_r1,11.05%
eng&img_dot_avg_r5,33.80%
eng&img_dot_avg_r10,44.85%
hin&img_dot_avg_r1,9.05%
hin&img_dot_avg_r5,25.35%
hin&img_dot_avg_r10,34.65%
jap&img_dot_avg_r1,19.10%
jap&img_dot_avg_r5,45.35%
jap&img_dot_avg_r10,59.45%
hin&eng_dot_avg_r1,6.50%
hin&eng_dot_avg_r5,18.80%
hin&eng_dot_avg_r10,27.80%
jap&eng_dot_avg_r1,6.25%
jap&eng_dot_avg_r5,19.05%
jap&eng_dot_avg_r10,26.90%
jap&hin_dot_avg_r1,5.00%
jap&hin_dot_avg_r5,15.65%
jap&hin_dot_avg_r10,22.40%
eng&img_cos_avg_r1,11.10%
eng&img_cos_avg_r5,33.85%
eng&img_cos_avg_r10,45.35%
hin&img_cos_avg_r1,8.35%
hin&img_cos_avg_r5,25.00%
hin&img_cos_avg_r10,34.35%
jap&img_cos_avg_r1,18.35%
jap&img_cos_avg_r5,45.45%
jap&img_cos_avg_r10,59.75%
hin&eng_cos_avg_r1,6.45%
hin&eng_cos_avg_r5,19.25%
hin&eng_cos_avg_r10,29.50%
jap&eng_cos_avg_r1,6.20%
jap&eng_cos_avg_r5,19.15%
jap&eng_cos_avg_r10,27.80%
jap&hin_cos_avg_r1,5.05%
jap&hin_cos_avg_r5,16.40%
jap&hin_cos_avg_r10,23.65%
